UniprotAccession,BRAIN,BROWN_ADIPOSE_TISSUE,CEREBELLUM,CEREBRAL_CORTEX,HEART,KIDNEY,LIVER,LUNG,MUSCLE,PANCREAS,SPLEEN,WHOLE_ORGANISM
A2A690,0.685,0.545,35.0,2.51,0.178,0.14,0.106,0.919,15.9,0.253,0.863,0.368
A2A699,2.06,,58.8,,0.082,,,,0.043,,,0.457
A2A6A1,0.494,0.125,10.9,5.64,0.05,,,1.75,11.5,0.147,0.441,5.82
A2A6C4,,,,,,,,,,,,0.013
A2A6H3,,,,,,,,,,,,0.025
A2A6P4,4.49,,10.3,,,,,,0.003,,,3.69
A2A6Q5,1.76,,19.1,,0.073,,0.049,,0.036,,,5.61
A2A6T1,0.275,,38.1,,,,,,,,,3.53
A2A6V5,0.043,,,,,,,,,,,
A2A752,0.018,,,,,,,,,,,0.016
A2A761,0.022,,,,,,,,,,,0.051
A2A791,0.016,,12.8,,0.032,,,1.93,1.26,,,8.92
A2A799,0.025,,,,,,,,,,,1.1
A2A7A1,0.026,,,,,,,,,,,0.22
A2A7A2,0.029,,,,,,,,,,,0.188
A2A7A5,0.034,,,,,,,,,,,0.099
A2A7B5,0.011,,9.08,,,,,36.2,109.0,,,1.79
A2A7F4,0.007,,4.83,,,,,,0.01,,,0.363
A2A7I1,0.028,,,,,,,,,,,2.29
A2A7Q9,,,,,0.11,,,,,,,0.028
A2A7V0,0.021,,,,,,,,,,,2.41
A2A7V7,,,,,,,,,,,,0.022
A2A7W0,,,,,,,,,,,,0.027
A2A7W1,,,,,,,,,,,,0.042
A2A7Y5,,,,,,,,,,,,0.008
A2A7Z8,0.019,,,,,,,,,,,0.015
A2A825,,,,,,,,,,,,0.001
A2A863,0.018,,4.19,,0.338,,,1.67,2.33,521.0,,1.31
A2A870,,,12.8,,,,,,,,,0.068
A2A884,0.007,,5.33,,0.082,,,,,,,0.133
A2A891,0.004,,13.6,,,,,,,,,0.257
A2A8L1,6.52,1.38,3.72,,0.914,9.91,4.23,7.42,1.19,18.9,47.9,6.06
A2A8L5,1.72,,19.1,2.13,0.032,54.7,11.3,28.0,,0.086,,1.87
A2A8M8,0.013,,3.18,,,,,,,,,0.003
A2A8N0,,,,,,,,,,,,0.019
A2A8N2,,,,,,,,,,,,0.0003
A2A8Q4,0.046,,,,,,,,,,,0.201
A2A8T1,,,,,,0.564,50.3,,,,,1.63
A2A8T7,,,,,,,,,,,,0.061
A2A8U2,5.83,,39.5,,9.09,,,,1.85,,,3.38
A2A8V4,0.037,,,,,,,,,,,0.077
A2A8V7,,,,,,,,,,,,1.07
A2A8Z1,0.785,1.42,36.0,,2.71,0.275,0.891,16.5,2.04,1.05,5.98,16.5
A2A935,0.032,,88.2,,0.114,,,10.6,,,,0.092
A2A958,,,,,,,,,,,,0.002
A2A974,,,,,,,44.3,,,,,12.2
A2A995,,,,,,,,,,,,0.066
A2A9A2,0.02,,,,,,,,,,,0.018
A2A9C3,0.157,,6.35,,,,,,2.56,,0.596,0.055
A2A9F4,,,,,,,,,,,,0.155
A2A9G7,,,,,,,,,,,,0.063
A2A9H6,0.03,,,,,,,,,0.338,,0.043
A2A9I7,,,,,,,,,,,,0.481
A2A9J5,0.022,,,,,,,,,,,2.39
A2A9K7,0.026,,,,,,,0.261,2.07,,,0.003
A2A9Q0,0.115,,12.2,,,,,0.257,,,,0.104
A2A9R3,,,,,,,,,,,,0.058
A2A9T0,,,6.45,,,,,,,,,0.041
A2A9U8,,,,,,,,,,155.0,6.25,4.88
A2AA28,,,4.22,,,,,,,,,0.045
A2AAJ9,0.005,1.84,13.2,1.06,129.0,,0.038,4.38,1252.0,0.021,,0.696
A2AAX3,,,4.67,,,,,,,,,0.045
A2AAY5,5.32,,38.9,,,,,1.01,0.671,,,5.83
A2AB59,0.007,,5.73,0.392,0.053,,,2.79,,,18.6,1.4
A2AB62,,,,,,,,,,,,7e-05
A2ABG4,0.01,,11.6,,,,,,,,,0.157
A2ABU4,,1.01,0.028,,0.137,,,0.764,223.0,0.053,,1.12
A2ABV5,0.037,,12.2,,0.046,,0.03,1.55,0.11,0.076,6.48,1.71
A2AC93,0.01,,,,,,,,,,,0.009
A2ACD2,,,25.5,,,,,,,,,0.031
A2ACG1,0.074,,,,,,,,,,,0.0007
A2ACJ2,0.011,,11.6,,,,,,9.24,,,0.021
A2ACP1,,,6.72,,15.2,,0.025,0.714,,,,0.067
A2ACT7,0.03,,5.03,,,,,,,,,0.199
A2AD83,,,,,0.561,,,,,,,0.026
A2ADA5,0.969,,6.27,,,,,,0.431,,0.628,1.58
A2ADB2,,,2.72,,,,,,,,,
A2ADF7,,,7.93,,30.7,,,,,,,0.026
A2ADI4,,,,,,,,,,,,0.009
A2ADM8,,,,,,,,,,,,0.024
A2ADU8,0.127,,,,,,,,,,,0.087
A2ADU9,,,,,,,,,,,,0.075
A2ADW8,,,,,,,,,0.006,,,0.339
