UniprotAccession,BRAIN,BROWN_ADIPOSE_TISSUE,CEREBELLUM,CEREBRAL_CORTEX,HEART,KIDNEY,LIVER,LUNG,MUSCLE,PANCREAS,SPLEEN,WHOLE_ORGANISM
Q5F204,,,,,,,,,,,,0.0006
Q5F226,13.1,12.4,62.2,,0.064,,0.169,0.017,,,,0.231
Q5F259,,,4.64,,,,,,0.484,,,0.017
Q5F267,0.01,,,,,,,,,,,0.119
Q5F285,60.0,10.0,176.0,,88.6,81.7,82.4,70.4,1.16,8.36,5.07,87.6
Q5F289,,,,,,,,,,,,0.056
Q5F293,,,1.76,,,,,3.08,,,,0.288
Q5F2C3,,,,,,,,,,,,0.005
Q5F2E7,16.4,0.056,52.5,14.1,1.28,,0.367,1.06,1.24,0.898,1.36,20.3
Q5F2E8,6.49,0.157,56.6,3.57,5.45,,1.03,19.2,3.81,1.34,0.831,8.87
Q5F2F2,0.025,12.9,,,,,0.211,,,,,0.75
Q5FW52,0.199,,2.4,5.69,154.0,,,1.19,11.9,,,1.35
Q5FW53,,,0.274,,96.0,,0.256,14.4,138.0,1.28,10.2,0.122
Q5FW56,0.023,,,,,,,,,,,0.092
Q5FW57,,0.229,0.061,0.772,0.263,5.81,139.0,0.7,,0.075,,30.7
Q5FW60,,,0.028,,0.365,0.768,54.7,0.123,0.022,0.009,,159.0
Q5FW85,0.02,,,,,,,1.87,,,,0.095
Q5FWA1,,,,,,,,,,,,0.011
Q5FWB5,,,,,,,,,,,,0.082
Q5FWC9,,,,,,,,,,,,0.001
Q5FWD4,,,,,,,,,,,,0.082
Q5FWD5,,,,,,,,,,,,0.082
Q5FWH3,,,,,0.105,,,,,,,0.022
Q5FWH6,,,,,0.319,,1.48,7.14,,,,0.035
Q5FWH7,3.81,,107.0,,,,9.67,,,,,0.723
Q5FWI2,0.018,,,,,,,,,,,9e-05
Q5FWI3,0.309,0.424,24.6,,0.025,8.78,2.02,176.0,2.42,0.049,10.9,2.96
Q5FWK3,47.3,26.0,167.0,203.0,28.9,77.1,2.32,345.0,3.54,160.0,321.0,61.0
Q5G5D5,0.03,,,,,,,,,,,0.005
Q5G865,,,,,,,,,,,,4.11
Q5G866,,,,,,,,,,,,0.991
Q5GAM8,,,,,,,,,,,,0.0004
Q5GAM9,,,,,,,,,,,,0.0006
Q5GFD5,,,,,,,,,,,,0.004
Q5GH62,0.046,,,,,,,,,,,0.011
Q5GH64,0.934,,22.1,,,,,,,,,0.63
Q5GH66,0.05,,1.72,,,,,,,,,0.045
Q5GH67,0.012,,33.7,,0.087,,,,,,,0.36
Q5GH68,,,,,,,,,,,,0.009
Q5GIG6,0.015,,,,11.9,,,,,,,0.0005
Q5GLZ0,,,,,,,2.66,,,,,1.53
Q5H8A1,,,,,,,,,,,,0.002
Q5H8B9,,,,,,,,,,,,0.012
Q5H8C4,108.0,1146.0,33.9,0.228,36.0,233.0,65.4,51.5,7.27,96.2,120.0,1.56
Q5HZG4,,,6.55,,0.128,,,0.257,,,,31.8
Q5HZG9,,,,,,,,,,,,0.039
Q5HZH2,0.747,,4.58,,,,,,,,,11.3
Q5HZI1,0.682,10.3,8.45,0.705,7.73,,2.99,9.3,0.584,3.93,0.257,0.974
Q5HZI2,0.633,,22.4,14.1,,,,,,0.048,,0.421
Q5HZI9,3.47,23.2,46.3,0.208,42.4,1.6,0.038,3.2,2.26,,4.65,5.47
Q5HZJ0,0.128,,7.11,,0.082,,,,,,,0.452
Q5HZK1,,,4.56,,,,,1.06,,,,0.139
Q5HZK2,0.211,,3.7,,,,,,,,,0.008
Q5I012,,2.31,22.2,,0.086,0.386,0.83,6.09,0.042,16.2,2.27,7.83
Q5I043,0.01,,5.32,,33.4,,,,18.3,,,9.33
Q5I0W6,0.234,9.2,0.119,0.116,0.548,34.0,38.9,164.0,0.032,3.99,0.306,9.78
Q5I1X5,0.009,,3.59,,6.47,,,,0.208,,,0.575
Q5I2A0,35.7,12.4,0.055,0.415,4.53,3.77,17.9,19.9,5.67,6.81,113.0,154.0
Q5IBH6,,,,,,,,,,,,0.006
Q5IBH7,,,,,,,,,,,,0.0004
Q5IR70,0.003,,,,0.164,,,,,,,0.007
Q5IRJ6,2.82,5.51,45.6,,32.0,,0.185,,1.92,,,4.09
Q5ISE2,,,,,,,,,,,,0.305
Q5IXF8,,,,,,,,,,,,8e-07
Q5JCS9,0.149,,,,,,,,,,,0.17
Q5JCT0,,,,,,,,,,,,0.049
Q5K2P8,,,,,,,,,,,,0.01
Q5K6N0,,,,,,,,,,,,5e-05
Q5KU39,1.46,1.87,33.4,0.305,0.351,0.782,0.541,3.49,0.335,0.799,3.31,7.16
Q5M6W3,,,,,,,,,,,,0.004
Q5M8M9,,,,,,,,,,,,0.01
Q5M8N0,398.0,6.85,209.0,510.0,1.51,3.53,4.52,30.8,1.18,2.57,16.8,61.9
Q5M8N4,31.9,181.0,60.1,40.9,147.0,47.0,11.4,18.9,31.5,8.58,25.4,6.61
Q5M8P2,,,,,,,,,,,,0.035
Q5M8Q2,,,,,,,,,,,,0.008
Q5M8R5,,,,,,,,,,,,0.082
Q5M8S2,,,,,,,,,,,,0.026
Q5M956,0.158,,21.7,,,,,,,,,0.156
Q5M9N4,,,11.6,,,,,,,,,0.012
Q5MJS3,0.005,,4.37,,,,,,,,,4.64
Q5MPP0,0.029,,22.4,,,,,,,,,0.046
Q5NBU5,0.02,,,,,,,,,,,0.0005
Q5NBU8,,,,,0.853,,,,,,0.68,0.252
Q5NBX1,0.026,,3.73,,0.981,,,4.46,13.3,,,8.67
Q5NC05,0.304,,5.41,10.4,0.11,,0.13,0.916,2.69,1.31,15.1,3.31
Q5NC32,,,,,,,,,,,,0.0001
Q5NC41,,,,,,,,,,,,0.208
Q5NC44,,,,,,,,,,,,0.003
Q5NC45,,,,,,,,,,,,0.061
Q5NC48,,,,,,,,,,,,0.011
Q5NC55,,,,,,,,,,,,0.002
Q5NC59,,,,,,,,,,,,0.002
Q5NC63,,,,,,,,,,,,0.024
Q5NC97,,,,,,,,,,,,0.0008
Q5NCB2,0.02,,,,,,0.21,0.344,,,4.08,0.011
Q5NCB3,,,,,,,0.19,0.396,1.47,,4.8,0.021
Q5NCC3,,,4.82,,,,,,0.231,,,0.418
Q5NCC7,,,,,,,,,,,,0.07
Q5NCC8,,,,,,,,,,,,6e-05
Q5NCC9,,,,,,,,,,,,0.034
Q5NCD0,,,,,,,,,,,,0.005
Q5NCD2,,,,,,,,,,,,0.002
Q5NCD3,,,,,,,,,,,,0.011
Q5NCD6,,,,,,,,,,,,6e-05
Q5NCD7,,,,,,,,,,,,0.009
Q5NCE8,0.198,,11.7,,15.5,,,,0.144,0.107,,0.955
Q5NCF2,12.0,1.69,57.0,4.22,2.65,7.65,2.76,38.8,1.12,16.5,3.82,2.75
Q5NCH9,,,,,,,,,,,,0.008
Q5NCI0,0.483,,12.1,,0.242,,,,0.343,,,0.092
Q5NCJ0,0.079,,6.28,,,,,0.091,,,3.04,0.341
Q5NCM1,0.012,,,,,,,,,,,0.032
Q5NCQ5,0.313,,5.77,,0.36,,,,0.073,,0.298,12.1
Q5NCR9,0.893,0.059,11.8,11.7,0.128,,0.132,3.7,,,0.568,30.0
Q5NCS9,0.046,,10.3,,1.57,,,,3.83,,,0.019
Q5NCX5,0.014,,11.6,,0.015,,,,3.01,,,2.4
Q5NCY0,0.004,,4.54,,,,,,,,,0.077
Q5NCY3,,,,,,,,,,,,0.009
Q5ND04,,,,,,,,,,,,0.033
Q5ND28,,,4.32,,,,,,,,,0.061
Q5ND29,0.161,0.332,,,19.1,0.446,,0.214,2.21,,0.272,0.114
Q5ND34,1.38,0.287,21.0,,0.121,7.63,0.179,13.8,0.196,,22.4,4.9
Q5ND52,0.103,,6.37,,,,,,0.247,,,1.28
Q5ND56,,,,,,,,,,,,0.06
Q5PPQ4,,,,,,,,,,,,0.03
Q5PR68,,,11.1,,0.064,,,0.796,,,,
Q5PR69,4.94,,32.2,0.48,,,,0.161,1.83,0.233,0.963,0.49
Q5PR73,118.0,,150.0,9.51,,,,,,1.13,,11.8
Q5PRE5,,,14.3,,,,,,,,,0.776
Q5PRF0,0.22,0.171,7.47,,0.958,12.8,0.383,10.1,0.445,0.938,21.6,2.9
Q5PSV9,17.3,,106.0,,,,,1.34,0.097,0.271,1.09,20.8
Q5PT53,,,,,,,,,,,,0.004
Q5QD04,,,,,,,,,,,,0.001
Q5QD05,,,,,,,,,,,,0.015
Q5QD07,,,,,,,,,,,,0.046
Q5QD08,0.019,,,,,,,,,,,0.011
Q5QD09,0.019,,,,,,,,,,,0.011
Q5QD10,0.019,,,,,,,,,,,0.013
Q5QD11,,,,,,,,,,,,0.008
Q5QD12,0.02,,,,,,,,,,,0.005
Q5QD17,,,,,,,,,,,,0.018
Q5QGU6,,,,,,,0.263,,,,,1e-05
Q5QNQ6,1.09,2.28,18.5,,2.14,0.526,0.228,0.167,4.0,8.53,5.29,0.805
Q5QNQ9,,,,,0.224,,,,,,,0.215
Q5QNS5,0.033,,,,,,,,,,,0.054
Q5QNV8,0.004,,,,,,,,,,,0.011
Q5QR91,,,,,,,,,,,,0.021
Q5RI75,0.018,,,,,,0.431,,,,,0.683
Q5RIS0,,,,,,,,,,,,7e-05
Q5RJ54,,,4.79,,,,,,0.041,,,0.265
Q5RJB0,,,,,,,,,,,,0.126
Q5RJF7,,,,,0.078,,,,,,,0.017
Q5RJG1,30.5,,9.3,,,,,,0.078,0.113,,39.1
Q5RJG7,9.57,,35.2,0.302,3.29,,,,0.728,,,0.458
Q5RJH2,,,,,0.105,,,,,0.135,,0.032
Q5RJH3,,,6.24,,,,,,,2.49,,0.029
Q5RJH6,0.016,0.192,0.328,1.2,0.132,,,,0.525,,,14.8
Q5RJI2,,,,,,,,,,,,0.103
Q5RJI4,,,,,,,,,,,,0.009
Q5RJI5,28.7,,83.7,0.443,,,,,,,,1.57
Q5RJV9,,,,,,,,,,,,0.002
Q5RJY2,0.396,,,,,,,,,,,0.0006
Q5RKR3,1.37,,20.8,,,,,,,,,0.296
Q5RKS2,2.47,,,,,,,,,,,1.72
Q5RKV8,,,,,,,0.988,,,,,0.052
Q5RKZ7,0.019,5.9,12.0,0.862,12.6,,38.7,12.1,0.047,2.03,5.34,6.77
Q5RL51,,,5.82,,,,,,,,,0.084
Q5RL79,8.7,,38.7,,5.43,0.832,4.58,0.922,0.727,12.4,1.72,7.82
Q5S003,0.001,,,,0.073,,,,,,,0.005
Q5S006,0.013,,4.09,,0.151,7.28,0.024,26.8,1.51,2.07,11.9,0.079
Q5S248,,,,,,,,,,,,0.211
Q5SDA5,,,,,,,,,,,,0.005
Q5SF07,39.2,,15.4,,0.294,,0.246,1.82,0.357,,,64.6
Q5SFM8,4.5,0.063,24.6,0.382,0.732,,,2.73,0.416,2.96,1.19,21.5
Q5SGK3,,,,,0.334,,1.22,0.235,,,0.072,0.07
Q5SNZ0,21.4,0.746,50.8,3.95,56.9,1.27,0.036,0.19,0.188,,17.1,3.08
Q5SP45,,,,,,,,,,,,0.002
Q5SP85,0.283,0.374,,5.83,,,,,,,0.695,0.098
Q5SPI8,,,,,,,,,,,,0.026
Q5SPL2,0.361,,7.79,,,,,,,,,3.64
Q5SPW0,0.003,,6.1,,,,,,0.508,,,2.87
Q5SPX1,0.041,,,,,,0.085,,,,,3e-06
Q5SPX3,0.073,,,,,,,,,,,0.045
Q5SQ27,0.016,0.948,2.11,4.31,1.36,,26.8,2612.0,2.55,0.83,0.951,12.9
Q5SQF8,7.15,,15.1,,,,,,,0.069,,2.5
Q5SQK8,,,,,,,,,,,,0.023
Q5SQM0,0.018,0.337,16.0,2.94,0.07,,,0.06,,,0.031,0.038
Q5SQP1,0.045,,,,,,,,,,,0.02
Q5SQX6,310.0,43.2,271.0,11.9,12.1,54.9,9.97,214.0,0.402,151.0,445.0,12.5
Q5SQY2,2.08,,20.8,1.58,2.74,,0.011,,1.69,0.817,,2.05
Q5SRT8,,,,,,,,,,,,0.0007
Q5SRX1,58.9,1.31,222.0,85.9,25.9,7.42,0.032,11.9,5.72,0.392,0.674,29.8
Q5SRY7,0.062,,35.9,,,,,,0.128,,,1.03
Q5SS00,,,10.5,,0.073,,,,,,,3.71
Q5SS80,5.15,,52.9,,0.949,0.371,3.37,2.61,0.4,0.904,1.76,4.95
Q5SS90,0.01,,3.01,,,,,,,,,0.011
Q5SSA0,,,,,,,,,,,,0.008
Q5SSE9,0.004,,,,0.009,,,,,,,0.001
Q5SSF7,,,,,,,,,,4.63,,
Q5SSG4,,,,,,,,,,,,0.019
Q5SSG5,,,,,,,,,,,,0.032
Q5SSH7,19.8,103.0,24.9,,2.78,,99.1,46.2,0.512,193.0,151.0,1.22
Q5SSH8,,,11.4,,0.479,,,,1.42,0.408,,0.113
Q5SSI6,23.2,,7.95,,0.11,,,1.92,0.145,0.412,,34.6
Q5SSJ1,,,,,,,,,,,,0.141
Q5SSK3,22.1,,10.6,,47.2,0.269,,,3.11,,,55.5
Q5SSL4,146.0,0.956,150.0,18.9,3.85,0.868,0.17,13.9,0.979,0.145,19.0,11.8
Q5SSM3,57.1,,49.7,2.49,,,,1.42,0.143,,0.247,3.8
Q5SSN7,,,,,,0.54,0.835,0.58,,2.57,1.6,0.194
Q5SSP0,0.065,,,,,,,,,,,0.0004
Q5SSW2,0.879,5.05,15.1,0.06,27.2,133.0,10.4,29.9,7.12,196.0,89.2,5.47
Q5SSZ5,10.2,0.097,49.5,0.623,2.79,50.8,1.61,139.0,6.43,9.9,33.6,6.54
Q5SSZ7,,,,,,,,,,,,0.02
Q5STE3,,,4.65,,,,,,,,,0.005
Q5SU73,19.1,,38.8,,,,,,0.257,,,17.1
Q5SUA5,0.63,,,,0.538,,1.01,5.92,,,230.0,2.57
Q5SUC9,8.07,1.77,50.0,2.46,93.6,4.44,10.6,8.93,7.83,3.13,,13.2
Q5SUD9,,,,,,,,,,,,0.022
Q5SUE3,,,7.9,,,,,,,,,0.238
Q5SUE7,,,,,,,,,,,,0.022
Q5SUE8,1.04,0.318,20.4,,1.85,,,0.485,0.589,,,1.04
Q5SUF2,33.9,1.02,54.3,23.3,11.1,0.351,0.24,9.38,0.853,0.45,0.894,57.6
Q5SUG4,0.308,,17.0,,,,,,,,,0.43
Q5SUQ9,1.94,,21.9,,0.046,,,,0.32,,0.165,11.0
Q5SUR0,99.9,255.0,93.0,1.58,22.7,154.0,82.9,248.0,2.2,1103.0,1074.0,102.0
Q5SUS0,0.088,,,,,,,,,,,0.017
Q5SUV1,,,2.57,,,,,,,,,0.001
Q5SUV2,,,,,0.091,,,,,,,0.014
Q5SUV5,0.048,0.405,,,0.54,0.21,0.181,0.498,1.75,0.175,0.453,0.384
Q5SV06,,,,,,,,,,,,0.037
Q5SV42,78.7,7.68,40.0,140.0,12.7,,4.91,122.0,11.2,235.0,243.0,2.46
Q5SV66,,,,,,,,,,,,0.068
Q5SV77,0.014,,3.46,,,,,,0.03,,,0.245
Q5SV80,,0.489,,,,,,,,,,0.165
Q5SV85,6.31,0.702,41.9,37.8,0.124,,0.097,7.4,0.367,16.9,8.87,6.55
Q5SVD0,0.051,,21.6,,,,,,0.041,,,0.123
Q5SVD5,,,,,,,,,,,,0.0002
Q5SVD6,,,,,,,,,,,,5e-06
Q5SVL6,7.32,,75.4,24.9,8.38,,0.631,0.108,0.004,25.0,0.751,3.58
Q5SVM0,,,,,,,,,,,,0.096
Q5SVP0,,,4.02,,,,0.187,2.2,,,9.82,0.016
Q5SVR0,3.09,4.1,38.3,0.108,6.85,5.02,0.289,10.0,6.33,23.0,10.2,1.31
Q5SVT3,0.02,,,,0.064,,,,,,,0.006
Q5SW19,56.7,1682.0,52.8,0.124,330.0,376.0,450.0,70.2,19.7,285.0,282.0,23.8
Q5SW25,0.129,,,,,,,,,,,0.004
Q5SW28,0.006,,,,,,,,,,,0.066
Q5SW45,,,4.49,,,,,,0.01,,,0.006
Q5SW46,,,4.69,,,,,,,,,0.243
Q5SW48,,,,,,,,,,,,0.048
Q5SW49,,,,,,,,,,,,0.002
Q5SW50,,,,,,,,,,,,0.002
Q5SW75,2.48,,19.2,,0.238,,,,0.257,,,0.356
Q5SWD9,12.5,0.026,17.7,,0.087,,2.48,0.204,0.346,5.71,46.1,34.0
Q5SWK7,,,,,,,,,,,,0.002
Q5SWP3,1.17,,53.6,,,,,,,,,0.237
Q5SWT3,0.013,396.0,10.8,1.16,36.7,59.4,2.66,18.1,3.63,164.0,0.565,2.38
Q5SWU0,0.812,0.455,0.275,1.61,,,0.038,0.399,,0.038,0.634,2.99
Q5SWU9,248.0,15371.0,106.0,21.1,88.5,145.0,1431.0,870.0,36.3,530.0,229.0,18.6
Q5SWW4,,,9.65,,0.027,,,,0.208,0.045,1.22,0.232
Q5SWY7,,,,,,,,,,,,0.029
Q5SWY8,,,,,,61.1,,,,,,0.011
Q5SWZ9,0.096,,,,0.199,0.292,0.248,,,,1.87,0.001
Q5SX19,,,,,,,,,0.063,,,0.094
Q5SX39,5.02,298.0,5.42,24.4,809.0,,12.2,45.2,85946.0,22.8,106.0,25.6
Q5SX40,0.254,1055.0,68.7,421.0,1932.0,,28.8,144.0,22458.0,24.5,624.0,24.8
Q5SX79,,,3.5,,,,0.277,,,,,0.05
Q5SXA9,0.132,,7.12,,0.164,,0.06,0.599,,,,1.49
Q5SXC4,5.6,,16.2,,,,,4.08,0.14,,,11.3
Q5SXG7,,,,,,,,,,,,0.196
Q5SXI5,,,2.41,,,,,,,,,0.193
Q5SXJ3,0.027,,,,0.041,,,,,,,0.051
Q5SXY1,15.7,,57.1,6.61,0.348,,0.927,2.9,1.13,1.55,3.67,7.89
Q5SYD0,2.9,1.55,65.9,1.9,6.61,2.15,2.55,130.0,4.18,5.86,6.62,6.77
Q5SYL1,,,,,,,,,,,,0.015
Q5SZ99,,,,,,,,,,,,0.004
Q5SZA1,0.46,,,,,,,,,,,0.133
Q5SZS9,0.027,,,,,,,,,,,
Q5SZT6,,,,,,,,,,,,0.014
Q5SZT7,,,,,,,,,,,,0.88
Q5SZV5,0.008,,12.2,,,,,,,,,0.0006
Q5U3K5,38.5,3.17,58.5,13.3,6.86,0.169,1.46,8.86,0.892,39.7,13.7,15.2
Q5U405,,,,,,,,,,,,2.85
Q5U406,,,,,,,,,,,,0.076
Q5U419,,,11.0,,,,,,1.54,,,0.0004
Q5U430,3.57,,0.36,,6.47,3.25,,3.76,11.0,14.0,2.06,4.22
Q5U431,,,,,,,,,,,,0.011
Q5U452,1.1,1.31,,,,3.74,1.88,0.973,0.039,1.19,10.4,1.01
Q5U458,13.2,51.0,87.7,5.2,87.6,0.576,151.0,8.76,32.4,2.35,10.8,21.4
Q5U462,,,,,0.078,,,,,0.13,,0.174
Q5U464,0.014,,7.49,,0.1,,,,,,,0.007
Q5U465,,,,,0.137,,,,,,,0.039
Q5U467,0.023,,,,,,,,,,,0.007
Q5U4C1,0.024,0.465,20.4,,1.49,,,7.54,5.36,1.48,10.2,3.56
Q5U4C3,0.844,,13.8,,0.164,,,1.14,0.142,,,11.5
Q5U4C9,,,3.83,,,,,,,,,0.04
Q5U4D8,0.006,,7.76,,,,,,0.04,,,0.95
Q5U4D9,10.6,0.668,53.8,0.032,0.465,,0.021,6.69,1.65,0.05,2.54,31.9
Q5U4E0,1.32,,18.2,,,,,,,,,0.058
Q5U4E2,0.04,,8.69,,,,,,0.042,,,1.15
Q5U4H9,,,4.88,,,,,,13.8,,,0.219
Q5U5M8,1.14,,9.69,,0.297,2.69,,,0.084,,8.17,1.3
Q5U5Q9,,,179.0,,,,,0.257,0.066,,,0.953
Q5U5V2,0.021,0.251,12.6,2.74,0.381,178.0,40.4,1.83,0.121,0.029,,1.11
Q5U680,0.021,1.4,16.8,,0.149,,4.55,,0.101,,,0.251
Q5U901,,,,,,,,,,,,0.016
Q5UAK0,,0.204,11.6,187.0,8.75,,0.029,0.926,0.021,1.9,3.32,11.6
Q5UBV8,,,,,,,,,,,,0.002
Q5UKY4,,,,,,,,,,,,0.031
Q5UW37,,,,,,,,1.89,,,,
Q5VCS6,18.5,,,,,,,,0.096,,,0.006
Q5XF89,,,10.2,,,,,0.36,0.126,,,0.686
Q5XF90,0.005,,3.95,,,,,,,,,0.001
Q5XFR0,0.02,,,,,,,,,,,0.382
Q5XFZ0,3.16,,6.18,,,,,,,,,4.35
Q5XG67,0.025,,,,,,,,,,,0.002
Q5XG69,9.72,,109.0,16.7,,,,,,0.278,,3.77
Q5XG71,23.8,,7.52,,0.046,,,1.06,0.241,,1.03,33.9
Q5XG73,6.9,0.296,0.545,0.047,6.33,0.986,138.0,1.48,0.483,,,15.3
Q5XJE5,2.12,,40.1,0.713,,,0.33,5.05,0.56,0.533,0.271,25.0
Q5XJV6,4.05,,33.6,,,,,,,,,0.335
Q5XJV7,0.013,,,,,,,,,,,1.39
Q5XJY4,4.65,8.33,25.5,,27.1,0.533,0.993,,58.3,,0.055,4.73
Q5XJY5,99.2,172.0,215.0,53.5,79.6,59.4,231.0,455.0,49.1,1232.0,415.0,87.6
Q5XKE0,,202.0,0.06,0.073,0.447,,0.027,0.841,6398.0,0.321,7.34,0.846
Q5XKN4,15.7,1.33,101.0,,0.937,,19.4,0.388,1.57,12.0,7.29,12.4
Q5XPI3,2.55,15.0,17.1,,23.7,1.36,0.42,10.1,12.9,10.3,136.0,0.383
Q5XPT3,,,2.58,,,,,,,,,8e-05
Q5Y4Y6,,,,,,,,,,,,0.14
Q5Y5T1,0.011,,31.3,,,,,,5.15,,1.14,2.71
Q5Y5T2,,,1.76,,,,,,,,,0.359
Q5Y5T3,,,,,,,,,,,,0.002
Q5Y5T5,0.018,,5.28,,,,,,0.004,,,0.029
Q5YD48,0.012,6.25,,,0.054,1.5,140.0,,,1.42,,6.14
Q60519,,,4.83,,,,,,,,,0.004
Q60520,6.99,0.099,21.5,,0.726,1.12,0.193,8.21,0.543,0.047,54.1,23.6
Q60571,0.04,,4.7,,,,,,,,,0.098
Q60575,6.26,25.5,26.0,13.1,12.8,,1.79,10.9,1.6,11.1,4.42,1.4
Q60584,,,4.56,,,,,,,,,0.008
Q60585,,,,,,,,,,,,0.047
Q60590,2.06,5.8,0.089,1.52,47.6,0.464,6.14,27.6,5.28,6.36,1.03,2350.0
Q60591,1.38,,,,0.493,,,,0.024,,,6.74
Q60592,0.017,,3.38,,1.67,,,,0.257,,,0.38
Q60596,16.2,0.176,31.4,6.83,11.6,,29.0,1.7,0.849,1.17,15.0,62.8
Q60597,444.0,7767.0,11.4,72.5,4011.0,1603.0,960.0,1018.0,974.0,377.0,833.0,271.0
Q60598,192.0,32.6,415.0,1722.0,45.2,198.0,38.6,318.0,12.8,47.5,27.2,122.0
Q60603,0.077,,3.99,,0.132,,,,,,,0.045
Q60605,581.0,183.0,747.0,303.0,352.0,268.0,426.0,1792.0,77.6,246.0,679.0,507.0
Q60610,2.22,,17.2,,0.055,,,,,,,0.69
Q60611,0.03,,2.28,0.369,0.263,,,0.034,,,0.657,1.54
Q60612,,,,,0.242,,,,,,,0.079
Q60613,,,,,,,,,,,,0.155
Q60625,71.6,,9.61,,,,,,,,,3.12
Q60629,0.082,,8.8,,0.087,,,,,,,0.283
Q60631,522.0,81.4,257.0,393.0,108.0,,119.0,384.0,13.9,7.2,686.0,156.0
Q60632,0.055,,20.2,,,,,,,,,2.07
Q60634,11.1,1.37,166.0,11.2,158.0,,14.0,49.5,3.53,0.149,10.9,15.4
Q60636,,0.488,,,0.123,,0.901,0.324,,,0.29,0.249
Q60641,,,,,0.351,,,,,,,0.103
Q60644,,,,,,,,,0.003,,,0.027
Q60648,32.1,23.8,186.0,12.6,5.5,79.2,174.0,37.1,7.1,9.18,103.0,92.0
Q60649,5.83,64.5,48.7,15.1,36.0,5.03,17.8,3.6,4.63,1.72,1.2,6.06
Q60651,,,,,,,,,,,,0.021
Q60652,,,,,,,,,,,,0.0003
Q60653,,,,,,,,,,,,0.019
Q60662,0.061,,,,,,,,,,,1.02
Q60665,,,,,0.091,,,,,,,0.041
Q60668,1041.0,64.9,890.0,410.0,168.0,3166.0,272.0,387.0,42.1,138.0,1209.0,962.0
Q60670,,,,,,,,,,,,0.01
Q60673,33.3,,24.6,,,,,,,0.019,,0.811
Q60674,,,1.55,,0.306,,,,,,,0.198
Q60675,0.123,100.0,15.2,2.9,326.0,2.6,0.244,48.9,306.0,10.5,11.5,0.707
Q60676,66.1,41.7,223.0,26.3,34.6,13.1,12.8,75.9,16.3,13.2,68.8,44.9
Q60677,,,,,,,,,,,,0.022
Q60680,0.022,0.072,8.36,,0.712,0.486,0.173,0.421,0.067,,19.1,4.67
Q60682,,,,,,,,,,,,0.035
Q60687,,,,,,,,,,,,0.031
Q60688,0.022,,,,0.151,,,,,,,0.006
Q60692,406.0,144.0,535.0,1.37,83.3,79.2,160.0,149.0,28.6,257.0,418.0,267.0
Q60695,0.28,,5.11,,,,,,0.252,,,0.184
Q60696,,,,,,,,,,,,0.059
Q60698,,,12.6,,,,,,,,,1.63
Q60700,0.012,,10.3,,,,,,,,,0.057
Q60707,,,,,,,,2.97,,,,0.056
Q60710,31.0,121.0,43.3,4.08,35.8,31.4,68.7,1207.0,8.72,13.8,1877.0,47.4
Q60714,3.79,41.3,52.9,,125.0,,0.306,4.42,25.8,2.09,,2.13
Q60715,40.4,4.55,4.63,2.3,34.6,218.0,0.672,97.6,1.75,0.176,16.0,55.1
Q60716,0.02,,,,10.4,,,3.54,0.003,,,20.9
Q60718,,,,,,,,,,,,0.125
Q60720,,,,,,,,,,,,0.054
Q60722,0.798,,42.0,,0.493,,,,0.007,,,1.6
Q60736,,,,,,,,,,,,0.651
Q60737,228.0,36.5,343.0,337.0,164.0,,54.5,68.6,27.6,34.5,135.0,96.8
Q60738,40.8,,54.4,,,0.432,,8.55,0.03,,,8.96
Q60739,7.97,3.69,88.5,1.31,11.3,,0.519,47.6,1.55,13.2,40.1,27.3
Q60748,,,,,,,,,,,,0.011
Q60749,206.0,4.71,319.0,47.3,9.87,0.94,4.39,75.7,10.3,27.1,59.2,266.0
Q60750,0.081,,,,,,,1.42,,,,0.361
Q60751,0.164,0.03,12.9,,,,0.675,1.12,0.016,0.023,0.1,1.76
Q60753,0.046,,,,0.452,,,,1.23,,,0.154
Q60754,0.261,,,,0.365,,,,,,15.2,1.22
Q60755,,,6.13,,,,,,,,,0.151
Q60756,0.033,,,,,,2.12,,,,,0.027
Q60759,23.9,156.0,131.0,4.58,194.0,396.0,834.0,19.4,17.1,183.0,7.64,109.0
Q60760,0.067,,19.8,,0.862,,,,0.972,20.5,,4.0
Q60761,,,,,,,,,,,,0.002
Q60764,,,14.3,,,,,,,,,0.049
Q60765,1.14,,,,,,,,,,,0.159
Q60766,16.8,1.7,20.9,,30.9,211.0,270.0,21.6,,19.3,117.0,30.5
Q60767,0.007,0.024,7.96,,,0.127,0.048,5.18,0.674,,3.71,1.08
Q60769,0.008,,,,,,,,0.586,,,0.103
Q60770,8.91,9.44,52.1,1.72,19.8,8.4,7.04,63.5,17.2,4.16,40.9,6.61
Q60771,12.2,,777.0,0.077,,,,,,,,16.2
Q60772,0.141,0.201,42.4,0.203,1.62,1.95,0.332,0.916,,0.038,,2.66
Q60773,,,15.9,,,,,,,,8.1,0.067
Q60774,,,,,,,,,,,,0.034
Q60775,0.045,0.052,4.15,,,,,0.905,0.05,,66.8,2.14
Q60778,0.37,,15.9,,0.538,,,1.09,0.836,,1.58,2.43
Q60779,,,3.49,,,,,1.64,0.004,,,0.031
Q60780,35.3,0.098,117.0,88.9,0.52,,0.01,5.66,,0.009,19.1,23.2
Q60787,0.713,,7.25,12.1,,,,0.897,,,17.1,11.1
Q60790,2.01,0.607,65.4,,0.456,,0.023,18.9,0.516,,301.0,2.6
